# Mapping from css feature and language tags to TypeTuner features and values,,,,
,,,,
# Langage tag mapping,TT feat,value,,
lang=sgw,Language,Sebat Bet Gurage,,
lang=guk,Language,Gumuz,,
,,,,
# feat tag mappings,TT feat,default,value 1,value 2
cv01,Punctuation,Ethiopic-style,Latin-style,
cv04,mwa alternates,Standard,Alternate-1,Alternate-2
cv05,rwa alternate,Standard,Alternate,
cv17,xoa alternate ,Standard,Alternate,
cv18,xwa alternates,Standard,Handwriting,
cv19,nwa alternate,Standard,Alternate,
cv20,nya alternates,Standard,Disconnected,
cv21,nywa alternates,Standard,Disconnected,Cohen
cv26,kxwaa alternate,Standard,Alternate,
cv31,zha alternates,Standard,Cohen,Chaine
cv32,dda alternates,Standard,Alternate,
cv40,gwaa alternates,Standard,Sebat Bet,Alone Stokes
cv41,gga alternates,Standard,Disconnected,
cv42,ggwaa alternate,Standard,Disconnected,
cv45,phe alternate,Standard,Alternate,
cv46,tswa alternate,Standard,Alternate,
cv48,fwa alternates,Standard,Cohen-1,Cohen-2
cv49,rya alternate,Standard,Alternate,
cv50,mya alternate,Standard,Alternate,
cv60,mwi alternates,Standard,Sebat Bet,Leslau
cv61,mwe alternates,Standard,Sebat Bet,Leslau
cv62,bwe alternate,Standard,Alternate,
cv63,fwee alternate,Standard,Alternate,
cv64,fwe alternate,Standard,Alternate,
cv65,pwe alternate,Standard,Alternate,
cv70,ggwa alternates,Standard,Disconnected,
cv80,3rd form alternates,Standard,Alternate,
cv85,6th form alternates,Standard,Alternate,
